monto,hora,intentos,distancia,antiguedad,es_fraude
251.03,16,0,28.36,322,0
138.87,21,0,35.07,599,0
165.42,18,0,47.72,466,0
354.78,21,0,3.8,181,0
278.16,18,0,6.58,478,0
182.09,0,0,44.94,179,0
27.89,21,0,2.88,687,0
985.13,14,0,6.06,519,0
279.47,23,0,17.56,615,0
107.93,23,1,4.75,481,0
790.26,2,0,13.97,847,0
1079.41,8,0,99.76,455,0
655.37,21,0,18.7,582,0
10.71,8,0,50.34,23,0
12884.32,0,3,655.6,5,1
43.34,1,0,48.24,28,0
377.1,20,0,8.96,574,0
368.04,3,0,4.6,990,0
831.96,5,0,13.08,864,0
453.54,6,0,14.15,79,0
466.75,19,0,56.85,394,0
999.82,0,0,35.96,708,0
76.74,12,0,13.6,767,0
156.96,22,0,3.06,383,0
61.95,13,0,5.95,113,0
393.3,16,0,12.11,931,0
426.02,17,0,2.07,927,0
559.09,15,0,3.81,146,0
18851.29,1,3,1356.18,5,1
339.11,9,1,30.41,292,0
131.21,1,0,15.58,926,0
573.65,20,0,39.34,541,0
18276.62,23,4,1846.58,1,1
15366.91,5,5,1472.71,2,1
1731.36,20,0,26.4,368,0
54.64,8,0,37.34,773,0
307.88,5,0,6.14,894,0
253.96,18,0,1.39,845,0
364.81,15,0,49.07,142,0
241.25,23,0,64.29,552,0
11614.15,3,5,1544.22,0,1
109.01,15,0,7.13,695,0
53.28,20,0,8.97,841,0
295.18,1,0,14.3,392,0
164.34,8,0,2.56,146,0
323.2,9,0,56.19,410,0
231.75,15,0,22.54,695,0
1165.11,17,0,29.2,959,0
1142.82,7,0,8.72,428,0
338.49,18,0,20.82,17,0
162.25,21,0,33.38,513,0
15052.29,5,3,511.51,2,1
1318.68,20,0,4.79,662,0
567.87,11,0,11.62,954,0
26784.56,2,3,1760.82,3,1
487.97,12,0,10.63,855,0
22753.69,23,4,912.9,4,1
368.3,18,0,12.8,91,0
13614.22,4,4,1196.72,5,1
192.39,8,0,23.36,98,0
7737.35,0,3,1811.58,5,1
139.82,14,0,28.95,238,0
27800.77,3,5,1149.03,3,1
233.01,15,0,7.93,972,0
1571.56,18,0,70.45,346,0
21410.65,22,4,1506.08,5,1
234.85,14,0,5.44,572,0
440.27,13,0,16.82,601,0
101.64,19,0,1.79,80,0
365.34,0,1,37.03,880,0
329.88,4,0,13.72,286,0
240.21,12,1,6.51,676,0
22653.04,5,4,1834.05,0,1
314.06,9,0,20.43,745,0
551.39,10,0,30.11,71,0
15292.4,22,5,1737.42,3,1
22221.42,4,5,424.8,0,1
174.03,1,0,1.43,414,0
148.11,18,0,6.18,626,0
858.57,18,0,19.52,635,0
49.69,11,2,10.67,434,0
14.73,8,0,18.63,379,0
305.05,11,0,115.94,243,0
1003.76,11,0,15.1,727,0
91.62,2,0,1.41,271,0
9251.87,2,3,1243.61,2,1
17225.97,0,4,1141.68,0,1
313.6,13,0,49.34,414,0
17.65,14,0,31.15,166,0
308.97,14,0,14.77,297,0
1301.77,22,0,12.33,594,0
1815.25,20,0,5.03,398,0
1280.18,0,0,27.81,229,0
12187.46,3,5,1136.1,1,1
532.21,23,0,15.85,740,0
13436.33,0,5,545.5,3,1
715.3,0,0,9.82,845,0
202.91,17,0,7.44,596,0
14.6,20,2,112.26,68,0
12280.11,22,5,445.11,1,1
18673.14,4,5,1558.38,4,1
1262.26,17,0,4.45,115,0
1203.44,3,0,1.22,395,0
434.2,12,0,16.27,934,0
448.45,0,0,7.52,588,0
10136.38,1,5,1858.55,5,1
384.49,22,0,27.83,327,0
119.98,6,0,30.77,817,0
81.11,19,0,20.56,797,0
24091.53,5,4,1108.86,0,1
192.78,18,0,66.6,132,0
868.7,14,0,15.61,797,0
666.39,8,0,27.18,552,0
1009.54,22,0,19.88,323,0
992.16,5,0,7.46,267,0
339.87,11,0,33.98,136,0
8323.65,1,3,1986.7,1,1
128.2,9,0,80.74,587,0
13555.32,3,4,1164.8,2,1
20221.64,0,3,1203.1,1,1
1239.77,17,0,4.88,885,0
1098.49,3,0,30.06,534,0
12362.14,2,5,616.83,1,1
53.18,16,1,5.06,901,0
298.67,18,0,32.66,486,0
1174.13,22,0,15.23,564,0
770.79,10,0,3.13,341,0
27894.11,0,5,791.54,2,1
399.09,21,0,40.1,760,0
68.28,13,0,17.49,943,0
302.05,9,0,9.27,74,0
87.06,21,0,22.69,925,0
1732.77,13,0,3.55,640,0
604.4,4,0,23.09,973,0
393.26,0,0,39.4,783,0
905.51,13,0,8.73,588,0
156.54,23,0,26.49,155,0
780.12,10,0,23.17,219,0
13842.55,22,4,527.45,2,1
254.07,13,0,46.2,456,0
1670.95,1,0,1.6,728,0
27000.21,5,3,551.29,0,1
2462.98,0,0,2.1,585,0
1074.33,4,0,15.03,447,0
1323.29,16,1,37.96,83,0
1643.31,5,0,14.58,686,0
452.98,2,0,14.37,427,0
1704.03,8,0,12.25,434,0
243.84,16,0,50.0,657,0
635.71,17,0,1.63,60,0
301.56,0,0,10.01,244,0
562.07,21,0,3.55,102,0
1497.14,21,0,19.71,490,0
616.79,18,0,5.83,712,0
144.81,11,0,5.85,251,0
7349.92,4,4,1988.43,3,1
166.33,22,1,4.08,994,0
262.32,21,0,12.06,345,0
165.83,8,0,23.51,894,0
1422.07,4,0,1.27,350,0
403.14,3,0,4.87,680,0
10730.54,1,5,1527.19,0,1
21714.5,2,3,711.28,5,1
93.71,8,0,5.19,926,0
22657.74,1,5,1076.06,4,1
74.46,6,0,10.01,667,0
454.35,8,0,14.94,868,0
2185.27,22,0,20.3,557,0
8273.73,23,5,858.01,4,1
111.16,13,0,7.52,633,0
847.29,16,0,24.17,831,0
189.33,16,0,17.99,900,0
361.02,10,0,23.15,840,0
212.28,16,0,12.38,571,0
156.61,20,0,24.29,185,0
191.75,16,0,26.04,246,0
303.36,3,0,11.75,65,0
414.06,14,0,8.41,701,0
1104.06,22,0,13.33,515,0
292.52,11,0,15.7,481,0
139.08,0,0,49.57,872,0
7803.43,5,4,1431.61,5,1
749.4,22,0,6.91,291,0
906.6,20,0,13.27,308,0
473.18,8,0,7.87,465,0
269.35,21,0,14.06,348,0
482.04,13,0,17.3,511,0
909.18,18,0,9.13,811,0
214.86,15,0,18.47,879,0
353.75,9,0,16.71,603,0
305.96,17,0,26.85,481,0
352.91,12,0,11.93,595,0
1593.03,6,0,11.13,715,0
103.32,17,0,19.51,111,0
959.62,7,0,15.12,979,0
76.82,4,0,6.1,911,0
278.07,21,0,17.49,214,0
916.78,20,0,66.2,232,0
480.12,19,0,28.6,855,0
39.02,18,0,22.45,542,0
662.11,13,0,26.7,768,0
19142.79,4,4,815.12,4,1
8862.52,22,4,1200.32,4,1
788.04,19,0,36.53,807,0
116.52,1,0,11.82,759,0
101.26,5,0,6.45,722,0
894.93,2,0,18.0,454,0
552.31,7,0,6.89,647,0
114.52,12,0,18.05,486,0
24.49,4,0,26.5,965,0
259.27,10,0,2.13,180,0
670.54,1,0,16.63,796,0
623.31,15,0,4.69,489,0
1358.08,10,0,25.45,510,0
241.9,21,0,3.56,287,0
345.92,12,0,27.24,137,0
478.69,11,0,37.65,457,0
959.13,16,0,93.55,459,0
14983.34,1,3,1575.76,2,1
107.21,20,0,50.17,907,0
564.72,15,0,43.55,439,0
128.63,10,0,44.82,174,0
263.07,15,0,8.73,671,0
1313.74,12,0,17.69,183,0
663.77,0,0,22.03,506,0
88.66,17,0,28.78,626,0
30.91,23,0,83.21,668,0
1081.86,6,0,20.53,933,0
417.1,9,0,9.09,624,0
229.85,4,0,24.37,741,0
73.85,16,0,18.92,902,0
20.13,21,0,34.42,719,0
24079.51,3,3,1471.02,4,1
95.05,6,0,37.88,83,0
356.93,8,0,1.64,227,0
600.13,15,0,29.95,302,0
422.03,13,1,86.85,434,0
441.23,0,1,2.53,997,0
1336.11,2,0,20.09,246,0
682.81,6,0,4.71,842,0
192.81,0,0,27.82,161,0
1080.53,10,1,23.67,641,0
941.49,15,0,7.49,687,0
62.67,13,0,9.78,466,0
804.3,18,0,29.71,737,0
17.99,8,0,10.14,330,0
173.88,9,0,62.64,41,0
604.15,1,0,85.71,320,0
15777.17,0,4,1307.25,1,1
85.25,15,0,25.59,449,0
400.87,7,0,65.18,151,0
840.73,15,0,17.6,616,0
127.01,7,0,19.51,499,0
81.63,23,2,10.48,464,0
103.93,11,0,51.87,434,0
96.16,8,0,45.02,820,0
151.98,13,0,43.69,84,0
419.89,15,0,2.84,645,0
28469.77,4,3,1972.13,1,1
176.02,22,0,21.88,101,0
360.48,21,0,8.84,776,0
140.56,9,0,33.52,689,0
16496.34,1,4,1411.96,3,1
1066.83,14,1,14.44,225,0
966.73,12,0,18.42,929,0
12326.53,0,4,1443.62,3,1
10881.91,3,4,1769.32,0,1
143.01,0,0,3.63,439,0
565.15,14,0,3.26,874,0
152.25,17,0,1.42,391,0
278.25,18,0,12.3,582,0
14700.23,2,4,1904.86,4,1
46.48,17,0,11.62,888,0
416.79,2,0,58.68,331,0
297.11,3,0,5.47,128,0
849.97,21,0,4.45,15,0
126.26,21,0,10.66,732,0
274.79,2,0,2.39,912,0
580.09,12,0,36.7,158,0
26.95,12,0,8.23,247,0
153.9,7,0,3.91,248,0
274.26,12,0,43.73,517,0
38.46,15,0,18.11,711,0
200.17,11,0,9.49,653,0
186.74,17,0,1.65,55,0
209.32,16,0,16.69,384,0
296.12,21,0,1.92,180,0
696.53,16,0,17.61,219,0
874.81,15,0,59.0,115,0
265.54,15,0,7.44,177,0
301.28,21,0,46.36,884,0
347.12,14,0,11.48,623,0
11307.54,22,5,1685.01,3,1
32.84,23,0,34.33,618,0
348.85,10,0,27.37,541,0
35.28,0,0,30.31,552,0
74.64,10,0,3.29,853,0
632.52,21,0,57.4,50,0
511.83,17,0,30.61,495,0
59.88,3,0,19.16,902,0
29.03,0,0,15.26,43,0
3176.26,14,0,10.04,280,0
21547.74,0,3,632.17,3,1
1743.93,11,0,54.74,683,0
14297.53,2,5,526.37,5,1
1131.09,15,0,36.63,492,0
149.9,6,0,7.06,437,0
17243.07,4,3,441.85,5,1
26.67,18,0,82.09,129,0
160.02,2,0,15.52,395,0
226.95,8,0,27.31,477,0
826.68,4,0,24.31,22,0
195.34,9,0,37.52,75,0
795.57,8,0,49.91,793,0
199.05,8,1,20.74,449,0
313.79,17,0,26.48,888,0
221.82,16,1,17.81,454,0
42.24,19,0,24.65,937,0
39.07,13,0,21.25,689,0
379.2,22,0,33.52,516,0
314.7,20,0,6.75,430,0
818.11,8,0,11.42,883,0
6256.13,4,5,1689.75,3,1
523.9,9,0,42.5,547,0
62.11,17,0,34.41,937,0
1816.8,16,0,58.0,40,0
620.5,0,0,25.59,49,0
328.96,11,0,3.72,39,0
621.89,11,0,30.73,449,0
214.97,3,0,8.94,821,0
509.53,19,0,11.11,35,0
1695.62,8,0,6.44,542,0
16778.96,1,5,1096.94,1,1
638.4,1,0,36.83,996,0
415.02,14,0,54.48,711,0
13530.77,0,3,1582.08,0,1
584.54,15,0,11.75,340,0
36.72,3,0,10.32,898,0
20060.71,5,4,1251.69,4,1
1233.49,9,0,12.62,847,0
152.22,11,0,1.97,850,0
1217.56,9,0,14.66,848,0
502.63,17,0,8.28,441,0
19.11,13,0,7.58,181,0
197.54,18,0,16.09,288,0
29744.18,4,5,1975.92,3,1
176.55,12,0,37.51,626,0
143.03,8,0,17.47,460,0
243.89,21,0,11.09,279,0
597.13,9,0,11.74,587,0
527.62,5,0,25.67,468,0
191.0,23,0,10.11,201,0
392.02,3,0,58.3,390,0
623.02,2,0,10.72,185,0
22269.48,2,3,1168.14,0,1
282.91,8,1,2.91,68,0
36.84,18,0,87.4,847,0
856.5,17,0,6.5,645,0
518.18,5,2,5.41,505,0
30.58,14,0,4.32,97,0
136.68,9,0,4.23,597,0
124.53,9,0,3.9,320,0
213.99,16,0,29.35,731,0
180.95,23,0,24.01,905,0
271.62,17,0,11.43,360,0
157.24,0,0,8.29,280,0
842.55,6,0,1.32,266,0
667.65,15,0,17.55,392,0
1933.45,20,0,42.0,964,0
99.03,12,0,9.61,753,0
445.72,14,0,15.89,733,0
197.91,6,0,18.85,780,0
16626.36,4,5,1854.77,5,1
505.94,17,0,8.95,198,0
22.37,12,0,24.06,913,0
131.76,4,0,10.91,997,0
28114.99,3,4,417.07,3,1
151.98,15,0,80.3,839,0
208.49,20,0,5.05,584,0
1168.88,11,0,19.16,474,0
237.14,15,0,2.3,648,0
67.12,6,0,44.38,882,0
23812.82,2,5,625.78,4,1
6634.73,4,3,440.22,2,1
209.77,17,0,3.73,587,0
19.06,12,0,12.85,546,0
22637.03,3,3,1233.4,3,1
930.81,2,1,24.96,192,0
891.67,6,0,15.42,356,0
130.94,11,0,29.9,257,0
216.05,18,0,13.95,608,0
520.77,17,1,54.14,913,0
1018.48,11,0,3.23,487,0
22709.31,23,3,1105.97,5,1
11062.26,4,3,1782.77,5,1
107.47,4,0,12.31,704,0
264.08,3,1,14.33,896,0
20591.02,1,5,661.8,4,1
109.1,22,0,43.37,382,0
843.43,11,0,3.06,835,0
25920.78,2,3,1183.53,0,1
10735.54,5,5,851.09,4,1
327.89,23,0,6.32,148,0
501.98,3,0,12.86,362,0
1003.78,6,0,4.4,322,0
594.37,14,0,13.65,624,0
103.62,23,0,12.01,544,0
205.77,23,0,39.28,748,0
423.2,21,1,9.11,295,0
327.79,13,0,2.88,33,0
695.71,18,0,25.35,884,0
231.44,23,0,10.15,452,0
28356.84,4,3,1261.41,4,1
127.41,6,0,2.38,506,0
248.99,0,0,118.08,561,0
310.91,19,0,8.66,889,0
725.03,2,0,13.82,778,0
139.43,14,0,31.59,694,0
72.15,4,0,42.04,219,0
121.0,10,0,7.19,46,0
1638.54,13,0,9.12,781,0
521.81,14,0,28.51,571,0
540.69,9,0,24.37,956,0
29638.99,23,4,787.14,1,1
569.69,23,0,27.24,155,0
1460.07,23,0,5.41,102,0
1581.13,7,0,24.14,566,0
167.62,22,0,62.29,323,0
297.04,14,0,1.31,314,0
175.6,11,0,48.68,969,0
22917.87,1,4,1440.15,4,1
94.59,21,0,3.34,38,0
1355.11,12,0,3.94,726,0
370.65,13,1,2.81,587,0
9240.92,23,3,1901.73,2,1
179.52,1,2,17.22,405,0
21.26,2,0,8.4,964,0
1318.57,21,0,27.43,939,0
